gene,transcript,protein_change,score,pvalue,qvalue,info
ARID1A,ENST00000324856,.,.,8.0,3.5690740740740748e-06,SAMPLES=466;SNV=413;INDEL=111;STRATIFIED_FDR=1.1921052631578947e-07
CLK3,ENST00000395066,.,.,1.1194722218011948,1.0,SAMPLES=40;SNV=38;INDEL=2;STRATIFIED_FDR=1.0
FKBP3,ENST00000216330,.,.,1.118444170206689,1.0,SAMPLES=17;SNV=17;INDEL=1;STRATIFIED_FDR=1.0
MCM7,ENST00000303887,.,.,1.1175323851046286,1.0,SAMPLES=86;SNV=89;INDEL=1;STRATIFIED_FDR=1.0
VAMP8,ENST00000263864,.,.,1.1174185464455488,1.0,SAMPLES=6;SNV=6;INDEL=0;STRATIFIED_FDR=1.0
PCDH1,ENST00000287008,.,.,1.1172478443869207,1.0,SAMPLES=122;SNV=123;INDEL=2;STRATIFIED_FDR=1.0
MTSS1L,ENST00000338779,.,.,1.1166793216170248,1.0,SAMPLES=42;SNV=41;INDEL=2;STRATIFIED_FDR=1.0
FGF19,ENST00000294312,.,.,1.1165657063169907,1.0,SAMPLES=20;SNV=20;INDEL=0;STRATIFIED_FDR=1.0
PLCH2,ENST00000449969,.,.,1.1163953390777075,1.0,SAMPLES=95;SNV=96;INDEL=2;STRATIFIED_FDR=1.0
TGFBR1,ENST00000374994,.,.,1.1161682866705476,1.0,SAMPLES=58;SNV=60;INDEL=0;STRATIFIED_FDR=1.0
ORM2,ENST00000431067,.,.,1.1160548049657202,1.0,SAMPLES=19;SNV=18;INDEL=1;STRATIFIED_FDR=1.0
ZNF385D,ENST00000281523,.,.,1.1153745367437655,1.0,SAMPLES=142;SNV=144;INDEL=4;STRATIFIED_FDR=1.0
BTG2,ENST00000290551,.,.,1.115204636051019,1.0,SAMPLES=32;SNV=35;INDEL=3;STRATIFIED_FDR=1.0
GNG8,ENST00000300873,.,.,1.115034801799268,1.0,SAMPLES=6;SNV=5;INDEL=1;STRATIFIED_FDR=1.0
JMJD1C,ENST00000399262,.,.,1.115034801799268,1.0,SAMPLES=184;SNV=186;INDEL=8;STRATIFIED_FDR=1.0
NR6A1,ENST00000487099,.,.,1.1137913758325024,1.0,SAMPLES=26;SNV=25;INDEL=1;STRATIFIED_FDR=1.0
MRPS15,ENST00000373116,.,.,1.1137349409702435,1.0,SAMPLES=28;SNV=29;INDEL=0;STRATIFIED_FDR=1.0
NLK,ENST00000407008,.,.,1.1124952257646221,1.0,SAMPLES=45;SNV=42;INDEL=3;STRATIFIED_FDR=1.0
MYEF2,ENST00000324324,.,.,1.1123826996642638,1.0,SAMPLES=58;SNV=57;INDEL=2;STRATIFIED_FDR=1.0
KDM5D,ENST00000317961,.,.,1.111651989821951,1.0,SAMPLES=23;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
GPR137B,ENST00000366592,.,.,1.1112029325433193,1.0,SAMPLES=38;SNV=36;INDEL=2;STRATIFIED_FDR=1.0
GPKOW,ENST00000156109,.,.,1.1111468330170637,1.0,SAMPLES=51;SNV=53;INDEL=1;STRATIFIED_FDR=1.0
PI4K2A,ENST00000370631,.,.,1.1086298253038518,1.0,SAMPLES=26;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
WBSCR22,ENST00000423497,.,.,1.1072377653841832,1.0,SAMPLES=26;SNV=26;INDEL=0;STRATIFIED_FDR=1.0
TCEB3C,ENST00000330682,.,.,1.106793246940152,1.0,SAMPLES=59;SNV=63;INDEL=0;STRATIFIED_FDR=1.0
TMED10,ENST00000303575,.,.,1.106571158220455,1.0,SAMPLES=14;SNV=14;INDEL=0;STRATIFIED_FDR=1.0
FAM65A,ENST00000422602,.,.,1.106571158220455,1.0,SAMPLES=75;SNV=77;INDEL=0;STRATIFIED_FDR=1.0
OXCT2,ENST00000327582,.,.,1.106571158220455,1.0,SAMPLES=31;SNV=31;INDEL=0;STRATIFIED_FDR=1.0
MYCT1,ENST00000367245,.,.,1.106515653781514,1.0,SAMPLES=72;SNV=76;INDEL=0;STRATIFIED_FDR=1.0
C15orf48,ENST00000344300,.,.,1.106515653781514,1.0,SAMPLES=8;SNV=8;INDEL=0;STRATIFIED_FDR=1.0
SMC6,ENST00000448223,.,.,1.1060164327881534,1.0,SAMPLES=79;SNV=78;INDEL=2;STRATIFIED_FDR=1.0
ESPNL,ENST00000343063,.,.,1.1056839373155616,1.0,SAMPLES=69;SNV=71;INDEL=0;STRATIFIED_FDR=1.0
MEPCE,ENST00000310512,.,.,1.1055177849899094,1.0,SAMPLES=46;SNV=47;INDEL=2;STRATIFIED_FDR=1.0
DNM1L,ENST00000549701,.,.,1.1050197090720313,1.0,SAMPLES=44;SNV=39;INDEL=6;STRATIFIED_FDR=1.0
HES1,ENST00000232424,.,.,1.1045774539605921,1.0,SAMPLES=33;SNV=35;INDEL=3;STRATIFIED_FDR=1.0
CGB2,ENST00000359342,.,.,1.1044117243337377,1.0,SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=1.0
UTP3,ENST00000254803,.,.,1.1035288995207229,1.0,SAMPLES=22;SNV=22;INDEL=1;STRATIFIED_FDR=1.0
PRNT,ENST00000326539,.,.,1.1034737825104448,1.0,SAMPLES=10;SNV=10;INDEL=0;STRATIFIED_FDR=1.0
ZBTB17,ENST00000375743,.,.,1.1031432272627957,1.0,SAMPLES=49;SNV=51;INDEL=0;STRATIFIED_FDR=1.0
ASCC1,ENST00000342444,.,.,1.103088159173975,1.0,SAMPLES=16;SNV=17;INDEL=0;STRATIFIED_FDR=1.0
GNPNAT1,ENST00000216410,.,.,1.1018235165023234,1.0,SAMPLES=15;SNV=13;INDEL=2;STRATIFIED_FDR=1.0
IGSF1,ENST00000370903,.,.,1.101713721410877,1.0,SAMPLES=247;SNV=258;INDEL=3;STRATIFIED_FDR=1.0
PTGER1,ENST00000292513,.,.,1.1012199867101744,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
CHDC2,ENST00000313548,.,.,1.1005625457138224,1.0,SAMPLES=108;SNV=110;INDEL=1;STRATIFIED_FDR=1.0
C10orf11,ENST00000372499,.,.,1.0995782465422623,1.0,SAMPLES=24;SNV=24;INDEL=0;STRATIFIED_FDR=1.0
ZBTB18,ENST00000358704,.,.,1.0994144133500385,1.0,SAMPLES=58;SNV=60;INDEL=1;STRATIFIED_FDR=1.0
WDR81,ENST00000409644,.,.,1.099305225547602,1.0,SAMPLES=116;SNV=120;INDEL=3;STRATIFIED_FDR=1.0
MAP1LC3B2,ENST00000306985,.,.,1.0977250795254982,1.0,SAMPLES=16;SNV=15;INDEL=1;STRATIFIED_FDR=1.0
UBE4A,ENST00000431736,.,.,1.0969100130080565,1.0,SAMPLES=77;SNV=80;INDEL=1;STRATIFIED_FDR=1.0
RUNX1T1,ENST00000436581,.,.,1.0968014529570216,1.0,SAMPLES=210;SNV=217;INDEL=2;STRATIFIED_FDR=1.0
GATAD2B,ENST00000368655,.,.,1.09653017149283,1.0,SAMPLES=56;SNV=55;INDEL=1;STRATIFIED_FDR=1.0
CTF1,ENST00000279804,.,.,1.0957714836599215,1.0,SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=1.0
VMA21,ENST00000330374,.,.,1.0947979713376814,1.0,SAMPLES=7;SNV=7;INDEL=0;STRATIFIED_FDR=1.0
MBD2,ENST00000256429,.,.,1.0944739515649518,1.0,SAMPLES=12;SNV=11;INDEL=1;STRATIFIED_FDR=1.0
GABARAPL3,ENST00000412799,.,.,1.0941501733576813,1.0,SAMPLES=10;SNV=11;INDEL=0;STRATIFIED_FDR=1.0
ADAMTSL2,ENST00000354484,.,.,1.093718844227847,1.0,SAMPLES=41;SNV=40;INDEL=1;STRATIFIED_FDR=1.0
CRIP2,ENST00000483017,.,.,1.093718844227847,1.0,SAMPLES=14;SNV=14;INDEL=0;STRATIFIED_FDR=1.0
KCNA10,ENST00000369771,.,.,1.0936649581949094,1.0,SAMPLES=71;SNV=74;INDEL=1;STRATIFIED_FDR=1.0
AMPD1,ENST00000520113,.,.,1.0931802845334546,1.0,SAMPLES=120;SNV=120;INDEL=3;STRATIFIED_FDR=1.0
TOR4A,ENST00000357503,.,.,1.0931802845334546,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
RP11-644F5.10,ENST00000550412,.,.,1.092965047516583,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
TUSC2,ENST00000232496,.,.,1.09231997575758,1.0,SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=1.0
RP11-793H13.10,ENST00000591834,.,.,1.091890459607448,1.0,SAMPLES=32;SNV=33;INDEL=0;STRATIFIED_FDR=1.0
UNK,ENST00000589666,.,.,1.0912469808154663,1.0,SAMPLES=57;SNV=60;INDEL=2;STRATIFIED_FDR=1.0
ARL15,ENST00000504924,.,.,1.0911398269827235,1.0,SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=1.0
TK1,ENST00000301634,.,.,1.0906579616386916,1.0,SAMPLES=18;SNV=15;INDEL=4;STRATIFIED_FDR=1.0
MS4A12,ENST00000016913,.,.,1.0894289515187414,1.0,SAMPLES=45;SNV=46;INDEL=0;STRATIFIED_FDR=1.0
PLA2G15,ENST00000219345,.,.,1.0893755951107988,1.0,SAMPLES=42;SNV=41;INDEL=1;STRATIFIED_FDR=1.0
GAPDH,ENST00000229239,.,.,1.0891622350073165,1.0,SAMPLES=37;SNV=38;INDEL=3;STRATIFIED_FDR=1.0
TMEM255A,ENST00000309720,.,.,1.088363066870558,1.0,SAMPLES=33;SNV=34;INDEL=1;STRATIFIED_FDR=1.0
LCE2D,ENST00000368784,.,.,1.0875653666244254,1.0,SAMPLES=37;SNV=40;INDEL=0;STRATIFIED_FDR=1.0
SLPI,ENST00000338380,.,.,1.0875122386676763,1.0,SAMPLES=12;SNV=12;INDEL=0;STRATIFIED_FDR=1.0
DPYSL3,ENST00000343218,.,.,1.0867691288864394,1.0,SAMPLES=54;SNV=53;INDEL=1;STRATIFIED_FDR=1.0
NAPB,ENST00000377026,.,.,1.0867160982395816,1.0,SAMPLES=15;SNV=15;INDEL=1;STRATIFIED_FDR=1.0
C1orf95,ENST00000366788,.,.,1.0867160982395816,1.0,SAMPLES=13;SNV=13;INDEL=0;STRATIFIED_FDR=1.0
DEPDC5,ENST00000382112,.,.,1.0866100563682444,1.0,SAMPLES=150;SNV=154;INDEL=4;STRATIFIED_FDR=1.0
SALL2,ENST00000327430,.,.,1.0865570451406048,1.0,SAMPLES=92;SNV=107;INDEL=1;STRATIFIED_FDR=1.0
RP13-672B3.2,ENST00000537262,.,.,1.085762652232259,1.0,SAMPLES=11;SNV=10;INDEL=1;STRATIFIED_FDR=1.0
CDR2,ENST00000268383,.,.,1.0853395694107781,1.0,SAMPLES=36;SNV=37;INDEL=0;STRATIFIED_FDR=1.0
HFE,ENST00000357618,.,.,1.0849697097408393,1.0,SAMPLES=38;SNV=38;INDEL=0;STRATIFIED_FDR=1.0
SEC24C,ENST00000339365,.,.,1.0849697097408393,1.0,SAMPLES=88;SNV=92;INDEL=4;STRATIFIED_FDR=1.0
KLK1,ENST00000301420,.,.,1.084864093377988,1.0,SAMPLES=34;SNV=33;INDEL=2;STRATIFIED_FDR=1.0
RCSD1,ENST00000367854,.,.,1.0844418845884796,1.0,SAMPLES=48;SNV=49;INDEL=1;STRATIFIED_FDR=1.0
NACC1,ENST00000292431,.,.,1.0840727883028842,1.0,SAMPLES=37;SNV=38;INDEL=2;STRATIFIED_FDR=1.0
HERC1,ENST00000443617,.,.,1.0840200858597757,1.0,SAMPLES=309;SNV=324;INDEL=9;STRATIFIED_FDR=1.0
TSR2,ENST00000375151,.,.,1.0840200858597757,1.0,SAMPLES=19;SNV=20;INDEL=0;STRATIFIED_FDR=1.0
ZNF583,ENST00000333201,.,.,1.0813407065781768,1.0,SAMPLES=52;SNV=54;INDEL=0;STRATIFIED_FDR=1.0
C1orf86,ENST00000378545,.,.,1.0812883346176794,1.0,SAMPLES=18;SNV=19;INDEL=1;STRATIFIED_FDR=1.0
C1orf162,ENST00000343534,.,.,1.0812883346176794,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
AL603965.1,ENST00000335083,.,.,1.0810789099086642,1.0,SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=1.0
UBXN2B,ENST00000399598,.,.,1.0805035121369384,1.0,SAMPLES=33;SNV=36;INDEL=0;STRATIFIED_FDR=1.0
AC087645.1,ENST00000600484,.,.,1.0797722885430714,1.0,SAMPLES=17;SNV=18;INDEL=0;STRATIFIED_FDR=1.0
RMDN1,ENST00000406452,.,.,1.0797201053670515,1.0,SAMPLES=33;SNV=29;INDEL=4;STRATIFIED_FDR=1.0
OTOR,ENST00000246081,.,.,1.0786777564161787,1.0,SAMPLES=16;SNV=16;INDEL=0;STRATIFIED_FDR=1.0
ELAVL1,ENST00000407627,.,.,1.0784175596065835,1.0,SAMPLES=38;SNV=37;INDEL=1;STRATIFIED_FDR=1.0
ADRA2A,ENST00000280155,.,.,1.077222658071202,1.0,SAMPLES=45;SNV=45;INDEL=0;STRATIFIED_FDR=1.0
COX7C,ENST00000509578,.,.,1.0767041593444961,1.0,SAMPLES=6;SNV=5;INDEL=1;STRATIFIED_FDR=1.0
RASGRP1,ENST00000310803,.,.,1.0767041593444961,1.0,SAMPLES=58;SNV=59;INDEL=1;STRATIFIED_FDR=1.0
ATP5J2,ENST00000292475,.,.,1.076082776886895,1.0,SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=1.0
MED21,ENST00000282892,.,.,1.0750491110843894,1.0,SAMPLES=8;SNV=6;INDEL=2;STRATIFIED_FDR=1.0
P2RX2,ENST00000343948,.,.,1.074997492319023,1.0,SAMPLES=57;SNV=57;INDEL=1;STRATIFIED_FDR=1.0
GPSM3,ENST00000375040,.,.,1.07448164182257,1.0,SAMPLES=17;SNV=17;INDEL=0;STRATIFIED_FDR=1.0
GAL3ST3,ENST00000312006,.,.,1.074378545209171,1.0,SAMPLES=62;SNV=65;INDEL=0;STRATIFIED_FDR=1.0
FAM73B,ENST00000358369,.,.,1.0738634289325513,1.0,SAMPLES=34;SNV=35;INDEL=0;STRATIFIED_FDR=1.0
RPS4Y1,ENST00000250784,.,.,1.0720140529005715,1.0,SAMPLES=8;SNV=7;INDEL=1;STRATIFIED_FDR=1.0
FMN1,ENST00000334528,.,.,1.071552936790818,1.0,SAMPLES=96;SNV=96;INDEL=3;STRATIFIED_FDR=1.0
C15orf62,ENST00000344320,.,.,1.0708366167949357,1.0,SAMPLES=5;SNV=5;INDEL=0;STRATIFIED_FDR=1.0
PLEKHB2,ENST00000409158,.,.,1.0705810742857071,1.0,SAMPLES=35;SNV=35;INDEL=1;STRATIFIED_FDR=1.0
WWP2,ENST00000359154,.,.,1.070223567195098,1.0,SAMPLES=90;SNV=90;INDEL=5;STRATIFIED_FDR=1.0
C14orf178,ENST00000355883,.,.,1.070223567195098,1.0,SAMPLES=6;SNV=7;INDEL=0;STRATIFIED_FDR=1.0
ZMAT4,ENST00000297737,.,.,1.069152808317503,1.0,SAMPLES=57;SNV=59;INDEL=0;STRATIFIED_FDR=1.0
PCNA,ENST00000379160,.,.,1.0675769736232612,1.0,SAMPLES=21;SNV=19;INDEL=2;STRATIFIED_FDR=1.0
RPP40,ENST00000380051,.,.,1.0672219299394494,1.0,SAMPLES=30;SNV=29;INDEL=1;STRATIFIED_FDR=1.0
FBRS,ENST00000356166,.,.,1.0671205421762013,1.0,SAMPLES=39;SNV=40;INDEL=0;STRATIFIED_FDR=1.0
HDGFL1,ENST00000510882,.,.,1.06656333217372,1.0,SAMPLES=41;SNV=41;INDEL=1;STRATIFIED_FDR=1.0
PPP1R18,ENST00000274853,.,.,1.0664620980282953,1.0,SAMPLES=38;SNV=39;INDEL=1;STRATIFIED_FDR=1.0
TSEN54,ENST00000333213,.,.,1.0664620980282953,1.0,SAMPLES=25;SNV=25;INDEL=0;STRATIFIED_FDR=1.0
DBNDD1,ENST00000304733,.,.,1.06620911585658,1.0,SAMPLES=15;SNV=15;INDEL=0;STRATIFIED_FDR=1.0
SAMD11,ENST00000342066,.,.,1.0646943097100747,1.0,SAMPLES=40;SNV=42;INDEL=1;STRATIFIED_FDR=1.0
TNFRSF25,ENST00000377782,.,.,1.0644423549069861,1.0,SAMPLES=34;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
BMP4,ENST00000245451,.,.,1.0638382590888429,1.0,SAMPLES=48;SNV=47;INDEL=1;STRATIFIED_FDR=1.0
CCL1,ENST00000225842,.,.,1.0625322603566225,1.0,SAMPLES=15;SNV=17;INDEL=0;STRATIFIED_FDR=1.0
TMEM87B,ENST00000283206,.,.,1.0617805821872568,1.0,SAMPLES=36;SNV=38;INDEL=0;STRATIFIED_FDR=1.0
AKR1C2,ENST00000380753,.,.,1.0611301784870133,1.0,SAMPLES=18;SNV=17;INDEL=1;STRATIFIED_FDR=1.0
KLRD1,ENST00000336164,.,.,1.0610801877552283,1.0,SAMPLES=14;SNV=13;INDEL=1;STRATIFIED_FDR=1.0
GLIS1,ENST00000312233,.,.,1.0601813371786204,1.0,SAMPLES=84;SNV=84;INDEL=1;STRATIFIED_FDR=1.0
CCDC117,ENST00000249064,.,.,1.0601813371786204,1.0,SAMPLES=13;SNV=11;INDEL=2;STRATIFIED_FDR=1.0
SCNM1,ENST00000368905,.,.,1.059035506507201,1.0,SAMPLES=18;SNV=18;INDEL=0;STRATIFIED_FDR=1.0
DYNLRB1,ENST00000357156,.,.,1.0581905269911618,1.0,SAMPLES=12;SNV=12;INDEL=0;STRATIFIED_FDR=1.0
FAM193A,ENST00000324666,.,.,1.0581408734746265,1.0,SAMPLES=106;SNV=109;INDEL=3;STRATIFIED_FDR=1.0
KIAA1257,ENST00000265068,.,.,1.0578430715325096,1.0,SAMPLES=52;SNV=55;INDEL=0;STRATIFIED_FDR=1.0
IFNW1,ENST00000380229,.,.,1.057694247104106,1.0,SAMPLES=30;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
PRSS35,ENST00000536636,.,.,1.057049929922901,1.0,SAMPLES=72;SNV=74;INDEL=0;STRATIFIED_FDR=1.0
RARB,ENST00000330688,.,.,1.0566044234910454,1.0,SAMPLES=52;SNV=50;INDEL=2;STRATIFIED_FDR=1.0
APBB1,ENST00000299402,.,.,1.056406567231631,1.0,SAMPLES=65;SNV=65;INDEL=0;STRATIFIED_FDR=1.0
PDZRN4,ENST00000402685,.,.,1.056159373598739,1.0,SAMPLES=179;SNV=182;INDEL=1;STRATIFIED_FDR=1.0
CPLX1,ENST00000304062,.,.,1.0561099517515273,1.0,SAMPLES=18;SNV=18;INDEL=0;STRATIFIED_FDR=1.0
CAMK2N2,ENST00000296238,.,.,1.0558135387163126,1.0,SAMPLES=4;SNV=4;INDEL=0;STRATIFIED_FDR=1.0
ATXN1L,ENST00000427980,.,.,1.0555666822997853,1.0,SAMPLES=19;SNV=17;INDEL=2;STRATIFIED_FDR=1.0
AC012215.1,ENST00000437887,.,.,1.0554679790080188,1.0,SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=1.0
ENDOV,ENST00000518137,.,.,1.0554186357730737,1.0,SAMPLES=19;SNV=19;INDEL=0;STRATIFIED_FDR=1.0
FZR1,ENST00000395095,.,.,1.0530567293021746,1.0,SAMPLES=66;SNV=66;INDEL=2;STRATIFIED_FDR=1.0
FOXH1,ENST00000377317,.,.,1.0530076592516278,1.0,SAMPLES=22;SNV=22;INDEL=0;STRATIFIED_FDR=1.0
OR2J3,ENST00000377169,.,.,1.050854047580056,1.0,SAMPLES=88;SNV=91;INDEL=1;STRATIFIED_FDR=1.0
RNASE11,ENST00000610205,.,.,1.0506099933550872,1.0,SAMPLES=28;SNV=28;INDEL=2;STRATIFIED_FDR=1.0
CCDC109B,ENST00000394650,.,.,1.0503660762007376,1.0,SAMPLES=20;SNV=19;INDEL=1;STRATIFIED_FDR=1.0
TSGA10,ENST00000393483,.,.,1.0495377810944022,1.0,SAMPLES=78;SNV=79;INDEL=0;STRATIFIED_FDR=1.0
BSX,ENST00000343035,.,.,1.0490026660111955,1.0,SAMPLES=41;SNV=41;INDEL=1;STRATIFIED_FDR=1.0
LMAN1,ENST00000251047,.,.,1.0486139051197072,1.0,SAMPLES=39;SNV=39;INDEL=1;STRATIFIED_FDR=1.0
ZNF146,ENST00000456324,.,.,1.0484196550966083,1.0,SAMPLES=27;SNV=29;INDEL=0;STRATIFIED_FDR=1.0
ITGB1BP1,ENST00000360635,.,.,1.048176964684088,1.0,SAMPLES=9;SNV=7;INDEL=2;STRATIFIED_FDR=1.0
ISL2,ENST00000290759,.,.,1.0464819185550074,1.0,SAMPLES=27;SNV=25;INDEL=2;STRATIFIED_FDR=1.0
HAND2,ENST00000359562,.,.,1.046192002334693,1.0,SAMPLES=37;SNV=38;INDEL=0;STRATIFIED_FDR=1.0
GRIN3B,ENST00000234389,.,.,1.046192002334693,1.0,SAMPLES=48;SNV=53;INDEL=1;STRATIFIED_FDR=1.0
CTNNBL1,ENST00000361383,.,.,1.0460471167680774,1.0,SAMPLES=49;SNV=49;INDEL=0;STRATIFIED_FDR=1.0
CNTF,ENST00000361987,.,.,1.0460471167680774,1.0,SAMPLES=25;SNV=23;INDEL=3;STRATIFIED_FDR=1.0
MARK1,ENST00000366917,.,.,1.0457574905606752,1.0,SAMPLES=114;SNV=111;INDEL=4;STRATIFIED_FDR=1.0
HCFC2,ENST00000229330,.,.,1.045612749855485,1.0,SAMPLES=63;SNV=63;INDEL=3;STRATIFIED_FDR=1.0
PVRL1,ENST00000264025,.,.,1.0451788169482068,1.0,SAMPLES=60;SNV=59;INDEL=2;STRATIFIED_FDR=1.0
PES1,ENST00000354694,.,.,1.0434954096833025,1.0,SAMPLES=45;SNV=45;INDEL=1;STRATIFIED_FDR=1.0
SPINK4,ENST00000379721,.,.,1.042728020007057,1.0,SAMPLES=10;SNV=10;INDEL=0;STRATIFIED_FDR=1.0
MSMB,ENST00000358559,.,.,1.0426321915684726,1.0,SAMPLES=10;SNV=12;INDEL=0;STRATIFIED_FDR=1.0
PAQR8,ENST00000442253,.,.,1.042584285277331,1.0,SAMPLES=39;SNV=39;INDEL=3;STRATIFIED_FDR=1.0
MID1IP1,ENST00000336949,.,.,1.0423927129399047,1.0,SAMPLES=16;SNV=15;INDEL=1;STRATIFIED_FDR=1.0
PRR16,ENST00000379551,.,.,1.0422490891227214,1.0,SAMPLES=67;SNV=69;INDEL=0;STRATIFIED_FDR=1.0
ADM2,ENST00000395738,.,.,1.0405769780568948,1.0,SAMPLES=8;SNV=7;INDEL=1;STRATIFIED_FDR=1.0
PTPRCAP,ENST00000326294,.,.,1.0403862889289561,1.0,SAMPLES=12;SNV=10;INDEL=2;STRATIFIED_FDR=1.0
METTL21C,ENST00000267273,.,.,1.0403862889289561,1.0,SAMPLES=36;SNV=36;INDEL=1;STRATIFIED_FDR=1.0
NENF,ENST00000366988,.,.,1.0391488462803142,1.0,SAMPLES=12;SNV=11;INDEL=1;STRATIFIED_FDR=1.0
CCNB2,ENST00000288207,.,.,1.0390538042661686,1.0,SAMPLES=21;SNV=21;INDEL=0;STRATIFIED_FDR=1.0
MCRS1,ENST00000357123,.,.,1.038958783046688,1.0,SAMPLES=45;SNV=44;INDEL=2;STRATIFIED_FDR=1.0
CEACAM21,ENST00000401445,.,.,1.0385789059335517,1.0,SAMPLES=34;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
TADA2B,ENST00000310074,.,.,1.0379623134349878,1.0,SAMPLES=41;SNV=41;INDEL=1;STRATIFIED_FDR=1.0
ACMSD,ENST00000356140,.,.,1.0379623134349878,1.0,SAMPLES=32;SNV=31;INDEL=1;STRATIFIED_FDR=1.0
CCDC85C,ENST00000380243,.,.,1.0375833065542488,1.0,SAMPLES=4;SNV=3;INDEL=1;STRATIFIED_FDR=1.0
BEST4,ENST00000372207,.,.,1.0368262836247484,1.0,SAMPLES=19;SNV=19;INDEL=1;STRATIFIED_FDR=1.0
POP1,ENST00000401707,.,.,1.0365427398832925,1.0,SAMPLES=91;SNV=96;INDEL=0;STRATIFIED_FDR=1.0
SCAF8,ENST00000367178,.,.,1.0365427398832925,1.0,SAMPLES=89;SNV=86;INDEL=6;STRATIFIED_FDR=1.0
KRTAP4-6,ENST00000345847,.,.,1.0348453540130746,1.0,SAMPLES=48;SNV=48;INDEL=0;STRATIFIED_FDR=1.0
MAN1A2,ENST00000356554,.,.,1.0346571644393778,1.0,SAMPLES=56;SNV=54;INDEL=2;STRATIFIED_FDR=1.0
ABCB5,ENST00000404938,.,.,1.0345631002237399,1.0,SAMPLES=241;SNV=254;INDEL=4;STRATIFIED_FDR=1.0
LDLRAD2,ENST00000344642,.,.,1.0342810297557792,1.0,SAMPLES=20;SNV=20;INDEL=0;STRATIFIED_FDR=1.0
PDCD7,ENST00000204549,.,.,1.0339052205538293,1.0,SAMPLES=32;SNV=34;INDEL=0;STRATIFIED_FDR=1.0
CAPZA1,ENST00000263168,.,.,1.0339052205538293,1.0,SAMPLES=23;SNV=23;INDEL=1;STRATIFIED_FDR=1.0
UBE2K,ENST00000261427,.,.,1.0338113190438627,1.0,SAMPLES=15;SNV=14;INDEL=1;STRATIFIED_FDR=1.0
SLFN11,ENST00000394566,.,.,1.0322648682161204,1.0,SAMPLES=123;SNV=125;INDEL=0;STRATIFIED_FDR=1.0
KLF10,ENST00000285407,.,.,1.0322648682161204,1.0,SAMPLES=47;SNV=46;INDEL=1;STRATIFIED_FDR=1.0
RAD54B,ENST00000336148,.,.,1.0317506058920827,1.0,SAMPLES=72;SNV=72;INDEL=3;STRATIFIED_FDR=1.0
EID3,ENST00000527879,.,.,1.0314236648245023,1.0,SAMPLES=17;SNV=15;INDEL=2;STRATIFIED_FDR=1.0
DMAP1,ENST00000372289,.,.,1.031330298279608,1.0,SAMPLES=32;SNV=32;INDEL=0;STRATIFIED_FDR=1.0
RP11-664D7.4,ENST00000512294,.,.,1.0311436253853077,1.0,SAMPLES=2;SNV=2;INDEL=0;STRATIFIED_FDR=1.0
LAMB2,ENST00000418109,.,.,1.0308171407677387,1.0,SAMPLES=134;SNV=145;INDEL=3;STRATIFIED_FDR=1.0
PTPDC1,ENST00000375360,.,.,1.0305374920253632,1.0,SAMPLES=59;SNV=59;INDEL=2;STRATIFIED_FDR=1.0
LAMTOR4,ENST00000341942,.,.,1.0304443157791565,1.0,SAMPLES=5;SNV=4;INDEL=1;STRATIFIED_FDR=1.0
PLCG1,ENST00000373272,.,.,1.0298856777149028,1.0,SAMPLES=110;SNV=105;INDEL=6;STRATIFIED_FDR=1.0
STK32C,ENST00000298630,.,.,1.0296996245978223,1.0,SAMPLES=36;SNV=37;INDEL=0;STRATIFIED_FDR=1.0
RP11-216L13.17,ENST00000456614,.,.,1.0291419430034978,1.0,SAMPLES=17;SNV=15;INDEL=2;STRATIFIED_FDR=1.0
DDAH2,ENST00000375789,.,.,1.028677754757187,1.0,SAMPLES=17;SNV=17;INDEL=0;STRATIFIED_FDR=1.0
SZT2,ENST00000562955,.,.,1.028445846553939,1.0,SAMPLES=245;SNV=270;INDEL=8;STRATIFIED_FDR=1.0
TDRD1,ENST00000251864,.,.,1.028399479769941,1.0,SAMPLES=129;SNV=127;INDEL=5;STRATIFIED_FDR=1.0
BLOC1S1,ENST00000548925,.,.,1.028306761050139,1.0,SAMPLES=9;SNV=9;INDEL=0;STRATIFIED_FDR=1.0
NFKBIE,ENST00000275015,.,.,1.0282604091122216,1.0,SAMPLES=25;SNV=25;INDEL=2;STRATIFIED_FDR=1.0
